id_odsp,league,ht,at,fthg,ftag,MATCH_ID
tjqPVTbA/,SP1,Rayo Vallecano,Real Zaragoza,0,0,160
2c1hVamU/,SP1,Osasuna,Sporting Gijon,2,1,161
bRgKW9q4/,SP1,Espanyol,Athletic Bilbao,2,1,162
S82ilx3r/,E0,QPR,Newcastle,0,0,163
QatDYVEi/,SP1,Malaga,Granada,4,0,164
lb7VXT8t/,D1,SC Freiburg,VfB Stuttgart,1,2,165
n1L8h6LD/,E0,Bolton,Norwich City,1,2,166
jsS3q2r0/,E0,Wolves,QPR,0,3,167
vBWJqEHD/,E0,Blackburn,Arsenal,4,3,168
44O5XGV2/,E0,Swansea,West Brom,3,0,169
04PCiQzK/,E0,Everton,Wigan,3,1,170
0KXFpf27/,E0,Aston Villa,Newcastle,1,1,171
CKtIYXOm/,F1,Valenciennes,Dijon FCO,4,0,172
bD0suznK/,F1,Nice,AC Ajaccio,3,0,173
roxEZD9s/,F1,Toulouse,Bordeaux,3,2,174
lboqICv7/,F1,Lille,Sochaux,2,2,175
zZVwLEfl/,F1,AJ Auxerre,Caen,1,1,176
SlpmHWgD/,F1,Lorient,St Etienne,3,0,177
UeVsKY9f/,F1,Brest,Montpellier,2,2,178
WMdzXmOn/,D1,Kaiserslautern,Mainz,3,1,179
xKarVRha/,D1,Hertha Berlin,FC Augsburg,2,2,180
tAT7Rhn7/,D1,Hamburg SV,Borussia Monchengladbach,0,1,181
CYq2kdvE/,D1,Nurnberg,Werder Bremen,1,1,182
przaTEHf/,D1,Bayer Leverkusen,FC Cologne,1,4,183
rc0vW7wg/,D1,TSG Hoffenheim,VfL Wolfsburg,3,1,184
I11QzFoT/,I1,Cagliari,Novara,2,1,185
EXndVh9j/,I1,Internazionale,AS Roma,0,0,186
CIiCOoip/,SP1,Sporting Gijon,Valencia,0,1,187
2TeFpTD3/,SP1,Mallorca,Malaga,0,1,188
8U26nkqi/,SP1,Sevilla,Real Sociedad,1,0,189
j9jGN56j/,SP1,Barcelona,Osasuna,8,0,190
K46Ao9bc/,SP1,Granada,Villarreal,1,0,191
EB5moODm/,E0,Sunderland,Stoke City,4,0,192
dzBrn4bs/,E0,Manchester Utd,Chelsea,3,1,193
fROGjpjQ/,E0,Fulham,Manchester City,2,2,194
dKSaprTg/,E0,Tottenham,Liverpool,4,0,195
8nUoJhP0/,F1,Evian Thonon Gaillard,Paris Saint-Germain,2,2,196
txjnvf1Q/,F1,Stade Rennes,AS Nancy Lorraine,1,1,197
pAdwtGWD/,F1,Lyon,Marseille,2,0,198
K0SBQC1D/,D1,Hannover 96,Borussia Dortmund,2,1,199
bov3SYW0/,D1,Schalke 04,Bayern Munich,0,2,200
4bcMyeWM/,I1,Bologna,Lecce,0,2,201
CpxqkfoG/,I1,Udinese,Fiorentina,2,0,202
r5pShxni/,I1,Lazio,Genoa,1,2,203
MeqWid1c/,I1,Napoli,AC Milan,3,1,204
MZ7HxyHG/,I1,Atalanta,Palermo,1,0,205
GIrziGG3/,I1,Parma,Chievo Verona,2,1,206
ULnvjzW9/,I1,Siena,Juventus,0,1,207
zslhWYgp/,I1,Catania,Cesena,1,0,208
zRBvsoDS/,SP1,Levante,Real Madrid,1,0,209
tKfJqmT9/,SP1,Athletic Bilbao,Real Betis,2,3,210
WO9qTRrT/,SP1,Atletico Madrid,Racing Santander,4,0,211
AgaNr7rG/,SP1,Real Zaragoza,Espanyol,2,1,212
h2MZsRcM/,SP1,Getafe,Rayo Vallecano,0,1,213
xhgZWBg0/,F1,Bordeaux,Lille,1,1,214
YNlZ3g09/,I1,Novara,Internazionale,3,1,215
hOclcnr3/,SP1,Villarreal,Mallorca,2,0,216
p01Ezqjd/,SP1,Osasuna,Sevilla,0,0,217
EXbpbSSd/,SP1,Real Sociedad,Granada,1,0,218
ba7Bnigm/,F1,St Etienne,Toulouse,1,1,219
fT3UXivf/,F1,AC Ajaccio,Montpellier,1,3,220
8jApU9wJ/,F1,Lorient,AJ Auxerre,1,1,221
tOdGoB8g/,F1,Sochaux,Stade Rennes,2,6,222
SGGuhDVP/,F1,AS Nancy Lorraine,Valenciennes,1,1,223
UaBtVkOC/,F1,Dijon FCO,Brest,1,0,224
zwCxWV86/,F1,Caen,Lyon,1,0,225
pd37mXws/,F1,Paris Saint-Germain,Nice,2,1,226
lQHyggGJ/,F1,Marseille,Evian Thonon Gaillard,2,0,227
OS3amYFS/,I1,Chievo Verona,Napoli,1,0,228
KzqzsWhd/,I1,Juventus,Bologna,1,1,229
GnfU4Zp3/,I1,AC Milan,Udinese,1,1,230
QyjRrhOq/,I1,Fiorentina,Parma,3,0,231
CEmw3DFF/,I1,Palermo,Cagliari,3,2,232
fgaelE0M/,I1,Cesena,Lazio,1,2,233
80uWsCwj/,I1,Genoa,Catania,3,0,234
xdeQ5FVd/,I1,Lecce,Atalanta,1,2,235
QLDDg4sS/,SP1,Rayo Vallecano,Levante,1,2,236
nochd6c9/,SP1,Malaga,Athletic Bilbao,1,0,237
ID5ukOkq/,SP1,Racing Santander,Real Madrid,0,0,238
692AyPzj/,SP1,Valencia,Barcelona,2,2,239
Cn36x5Lq/,SP1,Atletico Madrid,Sporting Gijon,4,0,240
6yms2XUL/,I1,AS Roma,Siena,1,1,241
0l1deQCF/,SP1,Real Betis,Real Zaragoza,4,3,242
rDj1fpSL/,SP1,Espanyol,Getafe,1,0,243
OKJBQ37U/,D1,VfB Stuttgart,Hamburg SV,1,2,244
reN9Wzo9/,E0,Chelsea,Swansea,4,1,245
ptLCstDC/,E0,Liverpool,Wolves,2,1,246
jBwbcLCa/,E0,Wigan,Tottenham,1,2,247
OWJGt0SI/,E0,Manchester City,Everton,2,0,248
82Gob1cg/,E0,West Brom,Fulham,0,0,249
G4y75q5J/,E0,Newcastle,Blackburn,3,1,250
EuHsasrm/,E0,Stoke City,Manchester Utd,1,1,251
2HV7rMc6/,E0,Arsenal,Bolton,3,0,252
00o3l4Ui/,F1,Nice,Dijon FCO,1,1,253
4lz9Q0xo/,F1,Lyon,Bordeaux,3,1,254
dSvCnra4/,F1,Toulouse,AS Nancy Lorraine,1,0,255
AmIzq9hC/,F1,Evian Thonon Gaillard,Caen,2,4,256
M9nakpFo/,F1,Montpellier,Paris Saint-Germain,0,3,257
jkvGo2EA/,F1,Valenciennes,Marseille,1,1,258
hC7urT7I/,F1,Lille,Lorient,1,1,259
KSMfUo85/,D1,Bayern Munich,Bayer Leverkusen,3,0,260
I76xqoNb/,D1,FC Augsburg,Hannover 96,0,0,261
Wj8Up7hn/,D1,VfL Wolfsburg,Kaiserslautern,1,0,262
x4HaT5NB/,D1,Schalke 04,SC Freiburg,4,2,263
vH7YqR7h/,D1,Borussia Monchengladbach,Nurnberg,1,0,264
AHF7RqhO/,D1,Mainz,Borussia Dortmund,1,2,265
fqAWGWqF/,I1,Napoli,Fiorentina,0,0,266
0MASHCU8/,I1,AC Milan,Cesena,1,0,267
UwhMdBhq/,I1,Bologna,Internazionale,1,3,268
xECinMZ1/,SP1,Sevilla,Valencia,1,0,269
vTglm2Ke/,SP1,Barcelona,Atletico Madrid,5,0,270
j1Ij9qsF/,SP1,Athletic Bilbao,Villarreal,1,1,271
MXdukFe0/,SP1,Real Madrid,Rayo Vallecano,6,2,272
0xDw0NSt/,E0,QPR,Aston Villa,1,1,273
WdJWqkw6/,F1,Brest,AC Ajaccio,1,1,274
OWJSpVNa/,F1,AJ Auxerre,Sochaux,4,1,275
Iyt8mOqb/,F1,Stade Rennes,St Etienne,1,1,276
h09Qomwt/,D1,FC Cologne,TSG Hoffenheim,2,0,277
GfG3SPxI/,D1,Werder Bremen,Hertha Berlin,2,1,278
8UjQeV7k/,I1,Cagliari,Udinese,0,0,279
255TfkNe/,I1,Catania,Juventus,1,1,280
lpS4bOTm/,I1,Siena,Lecce,3,0,281
nJ6OIhF2/,I1,Lazio,Palermo,0,0,282
OdFg1ipS/,I1,Atalanta,Novara,2,1,283
td4Xg9x2/,I1,Chievo Verona,Genoa,2,1,284
W8Xaa4Es/,I1,Parma,AS Roma,0,1,285
YPNoAPR8/,SP1,Mallorca,Real Sociedad,2,1,286
SQuKiHBs/,SP1,Real Zaragoza,Malaga,0,0,287
v97zjetf/,SP1,Levante,Espanyol,3,1,288
fZOsB5C2/,SP1,Granada,Osasuna,1,1,289
d44qlr5k/,SP1,Sporting Gijon,Racing Santander,0,0,290
fezB43KP/,E0,Norwich City,Sunderland,2,1,291
MmuOjyRm/,SP1,Getafe,Real Betis,1,0,292
SAFObQMo/,D1,Kaiserslautern,VfB Stuttgart,0,2,293
WMfeduS5/,E0,Aston Villa,Wigan,2,0,294
UaRVaEYc/,E0,Sunderland,West Brom,2,2,295
jFFvbh3A/,E0,Wolves,Newcastle,1,2,296
GCLWxiRp/,E0,Everton,Liverpool,0,2,297
ADgaeasC/,E0,Blackburn,Manchester City,0,4,298
0QMR0fJi/,E0,Manchester Utd,Norwich City,2,0,299
ETOJrtqN/,F1,Caen,Nice,1,1,300
W4ZEqMTG/,F1,Bordeaux,Montpellier,2,2,301
rTKl0sEc/,F1,AS Nancy Lorraine,Evian Thonon Gaillard,1,1,302
GtJdbLrA/,F1,St Etienne,AJ Auxerre,1,1,303
O2EgxvMj/,F1,Lorient,Valenciennes,2,0,304
r3kgcubG/,F1,Sochaux,Toulouse,3,0,305
hKNNs0bT/,F1,Dijon FCO,AC Ajaccio,1,1,306
IiOgsPiB/,D1,Bayer Leverkusen,VfL Wolfsburg,3,1,307
QeYRcpxh/,D1,TSG Hoffenheim,Bayern Munich,0,0,308
8KNWd4ib/,D1,Hertha Berlin,FC Cologne,3,0,309
8tH6vNyU/,D1,Nurnberg,Mainz,3,3,310
Ak3YZtpo/,D1,SC Freiburg,Borussia Monchengladbach,1,0,311
0Wesr5x5/,D1,Borussia Dortmund,FC Augsburg,4,0,312
lEwaCsbm/,I1,AS Roma,Atalanta,3,1,313
xjhPeMD6/,I1,Internazionale,Napoli,0,3,314
2ynI4fem/,SP1,Malaga,Getafe,3,2,315
dr3w2hu6/,SP1,Racing Santander,Rayo Vallecano,1,1,316
OpmE5zts/,SP1,Villarreal,Real Zaragoza,2,2,317
nufinDuJ/,SP1,Valencia,Granada,1,0,318
h2drBdIJ/,SP1,Osasuna,Mallorca,2,2,319
